currency_from,currency_to,exchange_rate
btc,eth,33.60935621379386
btc,ltc,1388.3510926494491
btc,bch,171.4078665715305
btc,doge,784690.6069452667
btc,link,8346.688382193268
btc,uni,23947.97507788162
btc,avax,8392.248908296942
btc,aave,797.1896712641294
btc,dot,63010.65573770492
eth,btc,0.029753619606363742
eth,ltc,41.308470290771176
eth,bch,5.10000445950767
eth,doge,23347.385827736154
eth,link,248.34419109663406
eth,uni,712.5389408099688
eth,avax,249.69978165938863
eth,aave,23.719278232915066
eth,dot,1874.7950819672133
ltc,btc,0.0007202789015649187
ltc,eth,0.024208110175975517
ltc,bch,0.12346146985372813
ltc,doge,565.1960884388461
ltc,link,6.011943539630836
ltc,uni,17.24922118380062
ltc,avax,6.04475982532751
ltc,aave,0.5741989007570257
ltc,dot,45.385245901639344
bch,btc,0.005834037958711121
bch,eth,0.19607825991911684
bch,ltc,8.099692974534948
bch,doge,4577.914786762754
bch,link,48.69489685124864
bch,uni,139.7133956386293
bch,avax,48.96069868995633
bch,aave,4.650834802447371
bch,dot,367.6065573770492
doge,btc,1.2743876263447505e-06
doge,eth,4.283134768827194e-05
doge,ltc,0.0017692974534946723
doge,bch,0.00021844006421691044
doge,link,0.010636916395222584
doge,uni,0.030519003115264797
doge,avax,0.010694978165938864
doge,aave,0.0010159286529088456
doge,dot,0.0803
link,btc,0.0001198079950047481
link,eth,0.004026669581375014
link,ltc,0.16633556077298178
link,bch,0.020536032821976455
link,doge,94.01220831717127
link,uni,2.869158878504673
link,avax,1.005458515283843
link,aave,0.09550969615264959
link,dot,7.549180327868854
uni,btc,4.17571839267363e-05
uni,eth,0.0014034320690785877
uni,ltc,0.05797363193064837
uni,bch,0.007157509810916875
uni,doge,32.766469999795845
uni,link,0.3485342019543974
uni,avax,0.35043668122270744
uni,aave,0.0332883957274707
uni,dot,2.6311475409836067
avax,btc,0.000119157571579098
avax,eth,0.004004809268772543
avax,ltc,0.16543254469929566
avax,bch,0.020424545130217624
avax,doge,93.50182716452647
avax,link,0.9945711183496199
avax,uni,2.853582554517134
avax,aave,0.0949911853157731
avax,dot,7.508196721311475
aave,btc,0.0012544066187087795
aave,eth,0.04215979888512406
aave,ltc,1.741556799711035
aave,bch,0.2150151623260792
aave,doge,984.3210909907519
aave,link,10.47014115092291
aave,uni,30.040498442367603
aave,avax,10.527292576419214
aave,dot,79.04098360655739
dot,btc,1.5870331585862397e-05
dot,eth,0.0005333916275002732
dot,ltc,0.022033592197941123
dot,bch,0.0027202996789154475
dot,doge,12.453300124533001
dot,link,0.1324647122692725
dot,uni,0.38006230529595014
dot,avax,0.1331877729257642
dot,aave,0.012651664419786372
