currency_from,currency_to,exchange_rate
btc,eth,33.58287
btc,ltc,1389
btc,bch,171.364
btc,doge,784852.2595005207
btc,link,8334
btc,uni,23872.670807453414
btc,avax,8382.769901853871
btc,aave,797.5721103963479
btc,dot,63121
eth,btc,0.02977157
eth,ltc,41.344673
eth,bch,5.102049
eth,doge,23367.605317432768
eth,link,248.14
eth,uni,710.7670807453416
eth,avax,249.58233369683754
eth,aave,23.746316663208137
eth,dot,1879
ltc,btc,0.00071997
ltc,eth,0.02417991
ltc,bch,0.12338348
ltc,doge,565.1303832880684
ltc,link,6.000797
ltc,uni,17.189440993788818
ltc,avax,6.035986913849509
ltc,aave,0.5742892716331189
ltc,dot,45.447246
bch,btc,0.00583421
bch,eth,0.19593983
bch,ltc,8.102145
bch,doge,4579.240775152642
bch,link,48.626951
bch,uni,139.28571428571428
bch,avax,48.90948745910578
bch,aave,4.653455073666736
bch,dot,368.278
doge,btc,1.27e-06
doge,eth,4.279e-05
doge,ltc,0.00176933
doge,bch,0.00021834
doge,link,0.01061903
doge,uni,0.0304167701863354
doge,avax,0.010680697928026173
doge,aave,0.0010162066818842084
doge,dot,0.08042359
link,btc,0.00011996
link,eth,0.00402878
link,ltc,0.16659095
link,bch,0.02055779
link,doge,94.13734659288151
link,uni,2.8633540372670807
link,avax,1.0054525627044713
link,aave,0.09566300062253581
link,dot,7.572286
uni,btc,4.185e-05
uni,eth,0.00140558
uni,ltc,0.05812081
uni,bch,0.00717227
uni,doge,32.87660043699332
uni,link,0.34882586
uni,avax,0.35114503816793896
uni,aave,0.0334094210417099
uni,dot,2.641845
avax,btc,0.0001193
avax,eth,0.0040068
avax,ltc,0.1656817
avax,bch,0.02044559
avax,doge,93.62684037491576
avax,link,0.9943781
avax,uni,2.8478260869565215
avax,aave,0.09514422079269558
avax,dot,7.530957
aave,btc,0.00125368
aave,eth,0.04210431
aave,ltc,1.741021
aave,bch,0.21484684
aave,doge,984.0517857507504
aave,link,10.449148
aave,uni,29.931677018633536
aave,avax,10.510359869138494
aave,dot,79.137
dot,btc,1.584e-05
dot,eth,0.00053195
dot,ltc,0.0219961
dot,bch,0.00271438
dot,doge,12.45635171836393
dot,link,0.13201483
dot,uni,0.37888198757763975
dot,avax,0.13304252998909488
dot,aave,0.012658227848101266
