currency_from,currency_to,exchange_rate
aave,btc,0.00125402
aave,eth,0.0421284
aave,ltc,1.742735
aave,bch,0.21498666
aave,doge,982.7368077378279
aave,link,10.441605
aave,uni,29.913043478260867
aave,avax,10.50381679389313
aave,dot,79.196
avax,btc,0.00011942
avax,eth,0.00401201
avax,ltc,0.1659659
avax,bch,0.02047382
avax,doge,93.55997224829612
avax,link,0.99438527
avax,uni,2.8478260869565215
avax,aave,0.09520348837209303
avax,dot,7.542039
btc,eth,33.592079
btc,ltc,1390
btc,bch,171.425
btc,doge,783638.7381137003
btc,link,8326
btc,uni,23852.7950310559
btc,avax,8375.790621592148
btc,aave,797.404485049834
btc,dot,63149
bch,btc,0.00583279
bch,eth,0.19595065
bch,ltc,8.105937
bch,doge,4571.174958168387
bch,link,48.56675
bch,uni,139.13975155279502
bch,avax,48.85823336968375
bch,aave,4.6514742524916945
bch,dot,368.361
link,btc,0.00012011
link,eth,0.00403491
link,ltc,0.16691296
link,bch,0.02059065
link,doge,94.17214218667102
link,uni,2.8664596273291925
link,avax,1.0065430752453655
link,aave,0.0958264119601329
link,dot,7.585077
doge,btc,1.28e-06
doge,eth,4.287e-05
doge,ltc,0.00177328
doge,bch,0.00021875
doge,link,0.01062461
doge,uni,0.030438509316770185
doge,avax,0.010688331515812432
doge,aave,0.0010175664451827244
doge,dot,0.08058369
eth,btc,0.02976752
eth,ltc,41.368459
eth,bch,5.10328
eth,doge,23328.674039913476
eth,link,247.859
eth,uni,710.0900621118011
eth,avax,249.34460196292255
eth,aave,23.73847591362126
eth,dot,1880
ltc,btc,0.00071958
ltc,eth,0.02417391
ltc,bch,0.12336261
ltc,doge,563.9105415663388
ltc,link,5.991551
ltc,uni,17.164596273291924
ltc,avax,6.027262813522356
ltc,aave,0.5738164451827243
ltc,dot,45.443668
dot,btc,1.583e-05
dot,eth,0.00053195
dot,ltc,0.02200519
dot,bch,0.0027146
dot,doge,12.447455413622821
dot,link,0.13184417
dot,uni,0.37888198757763975
dot,avax,0.13304252998909488
dot,aave,0.012666112956810633
uni,btc,4.188e-05
uni,eth,0.00140701
uni,ltc,0.05820422
uni,bch,0.00718017
uni,doge,32.85312002611925
uni,link,0.34873077
uni,avax,0.35114503816793896
uni,aave,0.03343023255813954
uni,dot,2.644992
