currency_from,currency_to,exchange_rate
aave,btc,0.00126073
aave,eth,0.04234557
aave,ltc,1.750263
aave,bch,0.21620331
aave,doge,988.383941308335
aave,link,10.491991
aave,uni,30.03095975232198
aave,avax,10.55495103373232
aave,dot,79.543
avax,btc,0.00011943
avax,eth,0.00401135
avax,ltc,0.16580055
avax,bch,0.02048071
avax,doge,93.64173629508863
avax,link,0.99389501
avax,uni,2.845201238390093
avax,aave,0.0947422680412371
avax,dot,7.535029
btc,eth,33.582341
btc,ltc,1388
btc,bch,171.461
btc,doge,783849.6026085184
btc,link,8321
btc,uni,23816.40866873065
btc,avax,8370.729053318826
btc,aave,793.0618556701031
btc,dot,63082
bch,btc,0.00583275
bch,eth,0.19591063
bch,ltc,8.097545
bch,doge,4572.753209700428
bch,link,48.540907
bch,uni,138.93808049535602
bch,avax,48.83242655059848
bch,aave,4.626494845360824
bch,dot,368.004
link,btc,0.00012017
link,eth,0.00403615
link,ltc,0.16682543
link,bch,0.02060731
link,doge,94.25310780517627
link,uni,2.863777089783282
link,avax,1.0065288356909685
link,aave,0.09536082474226804
link,dot,7.581606
doge,btc,1.28e-06
doge,eth,4.284e-05
doge,ltc,0.00177082
doge,bch,0.00021874
doge,link,0.01061525
doge,uni,0.030383900928792573
doge,avax,0.01067899891186072
doge,aave,0.0010117525773195876
doge,dot,0.08047749
eth,btc,0.02977355
eth,ltc,41.334307
eth,bch,5.105868
eth,doge,23341.960464642347
eth,link,247.779
eth,uni,709.2198142414861
eth,avax,249.26877040261158
eth,aave,23.616288659793817
eth,dot,1878
ltc,btc,0.00072038
ltc,eth,0.02419631
ltc,bch,0.1235388
ltc,doge,564.8053800692887
ltc,link,5.995135
ltc,uni,17.1609907120743
ltc,avax,6.031556039173014
ltc,aave,0.5714432989690722
ltc,dot,45.450989
dot,btc,1.585e-05
dot,eth,0.0005324
dot,ltc,0.02200557
dot,bch,0.00271826
dot,doge,12.431220705115141
dot,link,0.13191286
dot,uni,0.37770897832817335
dot,avax,0.13275299238302504
dot,aave,0.012577319587628866
uni,btc,4.193e-05
uni,eth,0.0014082
uni,ltc,0.05820489
uni,bch,0.00718983
uni,doge,32.912166293050745
uni,link,0.34891049
uni,avax,0.35146898803046794
uni,aave,0.033298969072164945
uni,dot,2.645199
