currency_from,currency_to,exchange_rate
btc,eth,33.58177981466999
btc,ltc,1388.2066100776594
btc,bch,171.37856458049987
btc,doge,784424.7823735317
btc,link,8336.767895878524
btc,uni,23871.118012422357
btc,avax,8382.224645583425
btc,aave,797.5202324133638
btc,dot,63004.09836065574
eth,btc,0.029778052429584336
eth,ltc,41.33808921798808
eth,bch,5.103319881385031
eth,doge,23358.64229658431
eth,link,248.25271149674617
eth,uni,710.835403726708
eth,avax,249.60632497273718
eth,aave,23.74859929445943
eth,dot,1876.139344262295
ltc,btc,0.0007203538671697131
ltc,eth,0.02419076495593934
ltc,bch,0.12345321174555751
ltc,doge,565.0634254865341
ltc,link,6.005422993492407
ltc,uni,17.195652173913043
ltc,avax,6.038167938931298
ltc,aave,0.574496783565055
ltc,dot,45.385245901639344
bch,btc,0.0058350354517660834
bch,eth,0.19595087575200207
bch,ltc,8.10023478417916
bch,doge,4577.146414393452
bch,link,48.64533622559652
bch,uni,139.2888198757764
bch,avax,48.910577971646674
bch,aave,4.653558829632704
bch,dot,367.6311475409836
doge,btc,1.2748194887139791e-06
doge,eth,4.281070737344303e-05
doge,ltc,0.001769712840888568
doge,bch,0.00021847673407504852
doge,link,0.010627874186550977
doge,uni,0.03043136645962733
doge,avax,0.010685823336968376
doge,aave,0.0010166943349242583
doge,dot,0.0803188524590164
link,btc,0.0001199505626748195
link,eth,0.004028153384391562
link,ltc,0.166516163987719
link,bch,0.02055695525183385
link,doge,94.09219402177796
link,uni,2.8633540372670807
link,avax,1.0054525627044713
link,aave,0.09566300062253581
link,dot,7.557377049180329
uni,btc,4.189162817927536e-05
uni,eth,0.0014067954335944498
uni,ltc,0.05815423514538559
uni,bch,0.00717932710530423
uni,doge,32.86083131780098
uni,link,0.3492407809110629
uni,avax,0.35114503816793896
uni,aave,0.0334094210417099
uni,dot,2.639344262295082
avax,btc,0.00011930007155402329
avax,eth,0.004006308734801585
avax,ltc,0.16561314791403287
avax,bch,0.020445475017279436
avax,doge,93.58193266591147
avax,link,0.9945770065075921
avax,uni,2.8478260869565215
avax,aave,0.09514422079269558
avax,dot,7.516393442622951
aave,btc,0.0012538866844467571
aave,eth,0.0421077465496376
aave,ltc,1.7406537836373488
aave,bch,0.21488930012708746
aave,doge,983.5797895682167
aave,link,10.453362255965292
aave,uni,29.931677018633536
aave,avax,10.510359869138494
aave,dot,79.0
dot,btc,1.5871983347427307e-05
dot,eth,0.0005330094499954127
dot,ltc,0.022033592197941123
dot,bch,0.0027201177231276894
dot,doge,12.450377083141984
dot,link,0.13232104121475052
dot,uni,0.37888198757763975
dot,avax,0.13304252998909488
dot,aave,0.012658227848101266
