currency_from,currency_to,exchange_rate
aave,btc,0.00126147
aave,eth,0.04235222
aave,ltc,1.752448
aave,bch,0.21692194
aave,doge,979.7232704402516
aave,link,10.459693
aave,uni,29.956923076923076
aave,avax,10.502696871628912
aave,dot,78.704
avax,btc,0.00012005
avax,eth,0.00403042
avax,ltc,0.16677043
avax,bch,0.02064321
avax,doge,93.28301886792453
avax,link,0.99538879
avax,uni,2.852307692307692
avax,aave,0.09521364009860311
avax,dot,7.489785
btc,eth,33.579178
btc,ltc,1389
btc,bch,171.988
btc,doge,776764.7798742139
btc,link,8293
btc,uni,23751.076923076922
btc,avax,8326.968716289104
btc,aave,792.8410024650781
btc,dot,62401
bch,btc,0.00581732
bch,eth,0.19530877
bch,ltc,8.081478
bch,doge,4517.937106918239
bch,link,48.235245
bch,uni,138.1446153846154
bch,avax,48.432578209277246
bch,aave,4.611442070665571
bch,dot,362.945
link,btc,0.00012065
link,eth,0.00405055
link,ltc,0.16760328
link,bch,0.02074631
link,doge,93.68553459119497
link,uni,2.8646153846153846
link,avax,1.0043149946062568
link,aave,0.09562448644207067
link,dot,7.527189
doge,btc,1.29e-06
doge,eth,4.323e-05
doge,ltc,0.00178875
doge,bch,0.00022141
doge,link,0.01067634
doge,uni,0.030576923076923078
doge,avax,0.010720064724919095
doge,aave,0.0010206963845521776
doge,dot,0.08033392
eth,btc,0.02979519
eth,ltc,41.39176
eth,bch,5.123564
eth,doge,23140.025157232703
eth,link,247.052
eth,uni,707.5507692307692
eth,avax,248.06256742179073
eth,aave,23.618940016433854
eth,dot,1859
ltc,btc,0.00072012
ltc,eth,0.02417723
ltc,bch,0.12383226
ltc,doge,559.2955974842766
ltc,link,5.97103
ltc,uni,17.10153846153846
ltc,avax,5.995685005393743
ltc,aave,0.5708709942481511
ltc,dot,44.928907
dot,btc,1.603e-05
dot,eth,0.00053832
dot,ltc,0.02227449
dot,bch,0.00275719
dot,doge,12.477987421383647
dot,link,0.13294792
dot,uni,0.38153846153846155
dot,avax,0.133764832793959
dot,aave,0.012736236647493838
uni,btc,4.21e-05
uni,eth,0.00141362
uni,ltc,0.05849257
uni,bch,0.00724034
uni,doge,32.70440251572327
uni,link,0.34911975
uni,avax,0.35059331175836034
uni,aave,0.03338126540673788
uni,dot,2.626945
