currency_from,currency_to,exchange_rate
aave,btc,0.00126074
aave,eth,0.04231809
aave,ltc,1.749104
aave,bch,0.21597528
aave,doge,988.5636751308394
aave,link,10.483919
aave,uni,30.000000000000004
aave,avax,10.544069640914039
aave,dot,79.487
avax,btc,0.00011953
avax,eth,0.00401202
avax,ltc,0.1658261
avax,bch,0.02047582
avax,doge,93.75541975699085
avax,link,0.99394188
avax,uni,2.845201238390093
avax,aave,0.09484004127966975
avax,dot,7.53588
btc,eth,33.562438
btc,ltc,1387
btc,bch,171.29
btc,doge,784066.6795890677
btc,link,8315
btc,uni,23794.117647058825
btc,avax,8362.894450489663
btc,aave,793.1372549019608
btc,dot,63041
bch,btc,0.00583729
bch,eth,0.19593507
bch,ltc,8.098446
bch,doge,4577.284459452567
bch,link,48.54112
bch,uni,138.90712074303406
bch,avax,48.8215451577802
bch,aave,4.630237358101135
bch,dot,368.03
link,btc,0.00012023
link,eth,0.00403569
link,ltc,0.16680443
link,bch,0.02059662
link,doge,94.26551453260016
link,uni,2.8606811145510838
link,avax,1.0054406964091405
link,aave,0.09535603715170278
link,dot,7.58034
doge,btc,1.28e-06
doge,eth,4.281e-05
doge,ltc,0.00176926
doge,bch,0.00021846
doge,link,0.01060475
doge,uni,0.03034705882352941
doge,avax,0.010666050054406965
doge,aave,0.0010115686274509803
doge,dot,0.08040319
eth,btc,0.02978713
eth,ltc,41.32559
eth,bch,5.102788
eth,doge,23357.545832015592
eth,link,247.701
eth,uni,708.8328173374614
eth,avax,249.13275299238305
eth,aave,23.627760577915378
eth,dot,1878
ltc,btc,0.00072074
ltc,eth,0.02419249
ltc,bch,0.12346919
ltc,doge,565.1850113751135
ltc,link,5.993468
ltc,uni,17.151702786377708
ltc,avax,6.02829162132753
ltc,aave,0.5717234262125902
ltc,dot,45.441346
dot,btc,1.586e-05
dot,eth,0.00053237
dot,ltc,0.02200428
dot,bch,0.00271704
dot,doge,12.446312524867121
dot,link,0.13189103
dot,uni,0.37770897832817335
dot,avax,0.13275299238302504
dot,aave,0.012590299277605778
uni,btc,4.197e-05
uni,eth,0.00140887
uni,ltc,0.05823175
uni,bch,0.00719032
uni,doge,32.95212250436131
uni,link,0.34903413
uni,avax,0.35146898803046794
uni,aave,0.03333333333333333
uni,dot,2.646311
