currency_from,currency_to,exchange_rate
btc,eth,33.606177673670594
btc,ltc,1388.820661007766
btc,bch,171.4581939799331
btc,doge,784867.8771548425
btc,link,8349.511400651465
btc,uni,23956.07476635514
btc,avax,8395.087336244542
btc,aave,797.3766072169225
btc,dot,63031.96721311475
eth,btc,0.029756433763768058
eth,ltc,41.32635000903016
eth,bch,5.101984392419174
eth,doge,23354.868999867314
eth,link,248.45168295331158
eth,uni,712.8473520249221
eth,avax,249.80786026200872
eth,aave,23.72708419742845
eth,dot,1875.606557377049
ltc,btc,0.0007200353710711452
ltc,eth,0.024197636611544244
ltc,bch,0.12345596432552954
ltc,doge,565.1326331690091
ltc,link,6.011943539630836
ltc,uni,17.24922118380062
ltc,avax,6.04475982532751
ltc,aave,0.5741393612608876
ltc,dot,45.385245901639344
bch,btc,0.005832325517887099
bch,eth,0.19600216760479672
bch,ltc,8.100054180964422
bch,doge,4577.604948100065
bch,link,48.69706840390879
bch,uni,139.7196261682243
bch,avax,48.96288209606987
bch,aave,4.650559933637495
bch,dot,367.62295081967216
doge,btc,1.2740997932352827e-06
doge,eth,4.281762402545188e-05
doge,ltc,0.0017694961170308832
doge,bch,0.00021845484949832775
doge,link,0.010638110749185666
doge,uni,0.030522429906542053
doge,avax,0.010696179039301309
doge,aave,0.001015937370385732
doge,dot,0.08030901639344262
link,btc,0.00011976748722350097
link,eth,0.004024927455162046
link,ltc,0.16633556077298178
link,bch,0.02053511705685619
link,doge,94.00165344927893
link,uni,2.869158878504673
link,avax,1.005458515283843
link,aave,0.09549979261717131
link,dot,7.549180327868854
uni,btc,4.174306557952639e-05
uni,eth,0.0014028248785092473
uni,ltc,0.05797363193064837
uni,bch,0.007157190635451505
uni,doge,32.76279126733825
uni,link,0.3485342019543974
uni,avax,0.35043668122270744
uni,aave,0.03328494400663625
uni,dot,2.6311475409836067
avax,btc,0.00011911728370980117
avax,eth,0.004003076600356607
avax,ltc,0.16543254469929566
avax,bch,0.020423634336677814
avax,doge,93.49132959776274
avax,link,0.9945711183496199
avax,uni,2.853582554517134
avax,aave,0.09498133554541684
avax,dot,7.508196721311475
aave,btc,0.0012541125372241512
aave,eth,0.04214592874873265
aave,ltc,1.7417374029257722
aave,bch,0.21502787068004459
aave,doge,984.3126448043929
aave,link,10.471226927252985
aave,uni,30.043613707165107
aave,avax,10.528384279475983
aave,dot,79.04918032786885
dot,btc,1.586496573427483e-05
dot,eth,0.0005331608572527358
dot,ltc,0.022033592197941123
dot,bch,0.0027201783723522855
dot,doge,12.451901976994602
dot,link,0.1324647122692725
dot,uni,0.38006230529595014
dot,avax,0.1331877729257642
dot,aave,0.012650352550808793
