currency_from,currency_to,exchange_rate
aave,btc,0.0012599
aave,eth,0.04230932
aave,ltc,1.748992
aave,bch,0.21604371
aave,doge,987.4719902220412
aave,link,10.487932
aave,uni,30.015479876160992
aave,avax,10.561002178649238
aave,dot,79.499
avax,btc,0.00011937
avax,eth,0.0040086
avax,ltc,0.16570857
avax,bch,0.0204691
avax,doge,93.50173151354655
avax,link,0.99368088
avax,uni,2.8421052631578947
avax,aave,0.09468798349664775
avax,dot,7.532183
btc,eth,33.576348
btc,ltc,1388
btc,bch,171.451
btc,doge,783591.3628030148
btc,link,8323
btc,uni,23818.26625386997
btc,avax,8380.50108932462
btc,aave,793.5327488396081
btc,dot,63090
bch,btc,0.00583126
bch,eth,0.19582276
bch,ltc,8.094964
bch,doge,4570.075371766144
bch,link,48.541916
bch,uni,138.91331269349845
bch,avax,48.87690631808279
bch,aave,4.628055698813822
bch,dot,367.952
link,btc,0.00012012
link,eth,0.00403396
link,ltc,0.16675688
link,bch,0.02059859
link,doge,94.11285394173966
link,uni,2.8606811145510838
link,avax,1.0065359477124183
link,aave,0.09530685920577617
link,dot,7.579834
doge,btc,1.28e-06
doge,eth,4.285e-05
doge,ltc,0.00177132
doge,bch,0.0002188
doge,link,0.01062179
doge,uni,0.030396284829721364
doge,avax,0.010694989106753813
doge,aave,0.0010126869520371326
doge,dot,0.08051406
eth,btc,0.02977542
eth,ltc,41.334263
eth,bch,5.105802
eth,doge,23336.219189244246
eth,link,247.863
eth,uni,709.3343653250774
eth,avax,249.5806100217865
eth,aave,23.6322846828262
eth,dot,1879
ltc,btc,0.0007203
ltc,eth,0.02418879
ltc,bch,0.12351499
ltc,doge,564.4734161743736
ltc,link,5.996086
ltc,uni,17.157894736842106
ltc,avax,6.037037037037037
ltc,aave,0.5716348633316143
ltc,dot,45.450829
dot,btc,1.585e-05
dot,eth,0.00053219
dot,ltc,0.02199968
dot,bch,0.0027175
dot,doge,12.426156039926665
dot,link,0.13192233
dot,uni,0.37770897832817335
dot,avax,0.1328976034858388
dot,aave,0.01258380608561114
uni,btc,4.193e-05
uni,eth,0.00140813
uni,ltc,0.05820966
uni,bch,0.00719033
uni,doge,32.898757384396006
uni,link,0.34905752
uni,avax,0.35185185185185186
uni,aave,0.0333161423414131
uni,dot,2.645885
